timestamp,speed_input,speed_output,filesize_input,filesize_output
410,280.2 rd,277.6 wr,"in(64.8, 198.2)",out(260.5)
411,288.2 rd,285.7 wr,"in(64.8, 242.6)",out(304.8)
413,151.5 rd,150.0 wr,"in(64.8, 244.7)",out(306.6)
415,187.6 rd,186.2 wr,"in(0.0, 430.5)",out(427.3)
416,116.0 rd,114.4 wr,"in(64.8, 249.7)",out(310.3)
417,126.2 rd,124.6 wr,"in(64.7, 289.6)",out(349.9)
418,144.3 rd,143.5 wr,"in(64.8, 386.7)",out(448.8)
421,276.7 rd,275.2 wr,"in(534.9, 222.0)",out(752.5)
425,184.2 rd,180.2 wr,"in(14.1, 23.6)",out(36.9)
426,302.5 rd,300.4 wr,"in(64.8, 117.4)",out(180.9)
427,268.5 rd,264.3 wr,"in(64.7, 180.7)",out(241.7)
429,300.3 rd,295.5 wr,"in(64.8, 243.5)",out(303.3)
431,298.7 rd,295.9 wr,"in(26.0, 112.1)",out(136.8)
432,304.4 rd,301.0 wr,"in(64.7, 285.1)",out(346.0)
434,297.6 rd,293.6 wr,"in(64.7, 288.5)",out(348.6)
436,54.6 rd,53.7 wr,"in(64.8, 64.8)",out(127.5)
438,54.6 rd,52.6 wr,"in(64.8, 64.8)",out(125.0)
439,54.6 rd,52.6 wr,"in(64.8, 64.8)",out(125.0)
440,54.6 rd,52.8 wr,"in(64.8, 64.8)",out(125.4)
441,54.6 rd,52.5 wr,"in(64.8, 64.8)",out(124.7)
442,52.8 rd,51.5 wr,"in(64.8, 60.9)",out(122.6)
443,54.4 rd,52.5 wr,"in(64.8, 64.8)",out(125.0)
444,57.0 rd,55.3 wr,"in(72.0, 64.8)",out(132.6)
445,60.4 rd,59.4 wr,"in(64.8, 82.2)",out(144.7)
446,65.9 rd,64.4 wr,"in(64.8, 98.4)",out(159.4)
447,62.8 rd,60.8 wr,"in(64.8, 115.7)",out(174.7)
448,144.1 rd,140.4 wr,"in(64.8, 117.3)",out(177.5)
449,152.7 rd,148.2 wr,"in(64.8, 123.1)",out(182.3)
450,154.0 rd,150.0 wr,"in(64.8, 124.7)",out(184.6)
451,143.6 rd,142.4 wr,"in(376.7, 388.7)",out(759.2)
455,301.8 rd,298.2 wr,"in(35.6, 47.5)",out(82.2)
456,285.1 rd,282.3 wr,"in(64.8, 189.7)",out(251.9)
458,304.7 rd,301.0 wr,"in(64.8, 194.3)",out(255.9)
459,272.9 rd,270.3 wr,"in(54.0, 194.3)",out(245.9)
461,271.1 rd,268.6 wr,"in(64.8, 245.7)",out(307.5)
463,122.1 rd,121.0 wr,"in(64.8, 251.9)",out(313.8)
465,208.5 rd,207.0 wr,"in(0.0, 430.5)",out(427.3)
466,113.2 rd,112.1 wr,"in(64.8, 259.1)",out(320.6)
467,112.1 rd,111.0 wr,"in(64.8, 255.9)",out(317.6)
468,113.2 rd,112.1 wr,"in(64.8, 259.1)",out(320.8)
471,280.0 rd,278.4 wr,"in(534.9, 216.3)",out(746.8)
474,260.6 rd,258.5 wr,"in(34.7, 89.5)",out(123.3)
476,271.5 rd,268.4 wr,"in(64.7, 216.5)",out(278.1)
478,292.0 rd,289.2 wr,"in(64.7, 238.5)",out(300.3)
480,280.3 rd,276.6 wr,"in(64.8, 249.0)",out(309.6)
482,282.5 rd,278.8 wr,"in(64.8, 246.3)",out(307.0)
484,284.7 rd,281.9 wr,"in(64.8, 256.0)",out(317.7)
