microseconds_start,duration,job_id,RdMBPS,WtMBPS,Input File Size (Input Level),Input File Size (Output Level),Output File Size (MB),output_level
316247485,3369025,614,56.3,54.2,64.8,116.1,174.1,3
317220896,774359,617,263.1,258.4,64.8,129.5,190.8,2
318175901,923883,619,294.1,290.6,64.8,194.3,256.0,2
318565634,374322,621,227.0,224.8,16.3,64.8,80.3,2
320529535,1733184,622,195.9,193.0,64.8,259.1,318.9,2
325540689,5780480,624,179.2,177.9,0.0,430.5,427.3,2
325548461,5813211,625,76.6,75.6,64.8,314.6,374.3,2
324861078,5190570,626,64.3,63.4,64.8,289.8,349.5,2
322199530,2518314,627,80.3,79.5,64.8,377.8,438.0,0
325633079,5965275,628,65.2,64.2,64.8,296.6,355.9,2
325548523,5780328,629,73.2,72.5,64.8,351.6,412.3,2
325864169,6186751,630,87.3,86.3,64.8,450.3,509.3,2
326567609,5992213,632,97.7,96.7,64.8,493.5,552.5,2
336930556,10004506,638,46.3,44.3,64.8,60.6,120.1,1
331954104,2841354,641,47.8,45.8,64.8,64.8,124.2,3
331961843,2841293,642,47.8,45.4,64.8,64.8,122.9,3
331961721,2841245,643,47.4,44.9,64.8,63.6,121.7,3
331961779,2841243,644,53.9,51.8,64.8,89.7,148.7,3
332118554,3006555,645,58.0,56.3,64.8,112.7,172.3,3
333076174,3209002,646,48.0,45.7,64.8,116.7,172.7,3
333085138,3962778,647,50.1,48.2,64.8,125.0,182.5,3
333093079,3970049,648,50.3,49.1,64.8,125.5,185.7,3
333085391,3970072,649,49.7,48.2,64.8,123.3,182.6,3
333093138,3970018,650,50.2,49.1,64.8,125.4,185.8,3
333085358,3970159,651,53.5,51.2,64.8,126.5,182.8,3
335772481,3770441,654,53.1,51.5,64.8,125.8,184.5,3
335796078,3800180,655,53.0,51.9,64.8,125.8,186.7,3
335769411,3759911,656,55.7,53.1,64.8,127.1,183.1,3
335761562,3747947,657,56.2,54.6,77.9,125.8,197.9,3
335772711,3613136,658,55.0,52.8,64.8,129.5,186.6,3
336930528,3735068,659,58.2,55.5,64.8,129.5,185.2,3
336930478,3725800,660,56.2,53.9,64.8,129.5,186.3,3
336930366,3498005,661,58.2,55.7,64.8,129.5,185.9,3
336930448,3497993,662,54.3,51.9,64.8,128.2,184.6,3
336930403,3623197,663,53.9,51.4,64.8,127.3,183.0,3
336922583,3706586,664,97.1,96.3,696.3,230.3,918.6,3
338543591,2750522,667,70.6,68.0,64.8,119.8,177.7,0
338543733,2742691,668,70.5,67.6,64.8,117.9,175.1,3
338535852,2739574,669,102.6,102.1,0.0,269.0,267.8,3
338543674,2739426,670,74.4,71.2,64.8,129.5,186.0,3
338543426,2715975,671,69.9,66.7,64.8,118.1,174.5,3
338748971,1811217,672,112.5,109.2,64.8,129.5,188.7,3
339499219,520028,675,261.2,260.4,64.8,64.8,129.1,2
340190772,666517,676,281.6,276.9,64.8,114.2,176.0,2
340779530,573522,678,266.5,262.7,48.9,96.8,143.7,2
341617082,804372,679,261.3,258.3,64.8,135.7,198.1,2
342550659,903433,681,290.5,285.7,64.8,185.5,246.2,2
343630845,1047406,682,259.4,256.3,64.8,194.3,256.0,2
350584367,6918074,684,78.8,75.9,64.8,129.5,187.1,1
346833543,2595049,686,78.8,76.4,64.8,129.5,188.3,3
346833585,2594949,687,73.9,71.2,64.8,118.2,176.1,3
346833447,2585189,688,75.5,72.1,64.8,122.0,178.5,3
346825664,2585131,689,62.9,59.9,64.8,129.5,184.9,3
347514071,3237542,690,62.9,60.9,64.8,129.5,187.9,3
347528338,3237417,691,62.9,60.6,64.8,129.5,187.1,3
347528463,3237325,692,66.6,64.1,64.8,144.7,201.6,3
347536248,3296838,693,249.4,248.5,0.0,215.2,214.4,3
349856802,904866,697,172.3,170.5,590.6,545.8,1124.9,0
351441826,644238,700,252.7,249.1,64.8,90.5,153.1,2
352110569,642824,702,287.2,284.9,64.8,111.3,174.7,2
352868964,728004,703,279.9,275.3,64.8,129.5,191.2,2
353615732,716369,705,284.4,279.8,64.8,129.5,191.1,2
354355808,726676,707,280.4,276.1,64.8,129.5,191.3,2
355128605,731808,708,278.4,276.3,64.8,129.5,192.8,2
355916228,758682,710,290.0,285.1,64.8,145.0,206.3,2
356704309,757857,711,249.0,245.0,50.5,129.5,177.1,2
358302303,1531292,713,177.4,175.5,64.8,194.3,256.3,2
360122906,2526428,715,156.3,155.3,0.0,376.6,374.2,0
360730350,3128910,716,86.8,85.6,64.8,194.3,255.5,2
360737718,3128651,717,86.8,85.6,64.8,194.3,255.5,2
360737651,3128740,718,86.8,85.8,64.8,194.3,255.9,2
360834818,3239417,719,94.1,93.2,64.8,225.8,287.9,2
361194494,3599358,720,113.0,112.3,64.8,323.2,385.5,2
364988143,3630613,725,268.2,265.9,696.2,232.3,920.7,1
365783672,716408,729,284.4,280.5,64.8,129.5,191.6,2
366678306,858804,731,266.1,262.3,64.8,153.2,214.8,2
367618791,906908,733,279.5,273.8,64.8,176.9,236.8,2
368683712,1033185,734,280.2,275.9,64.8,211.4,271.8,2
369920783,1201614,736,276.9,272.9,64.8,252.5,312.7,2
373293972,2558917,738,131.5,129.8,64.8,256.0,316.8,2
374842075,4212325,740,142.5,141.5,0.0,430.5,427.3,2
373669739,3166468,741,88.4,87.4,49.1,282.5,328.1,0
375206394,4691460,742,91.6,90.6,64.8,303.1,364.0,2
374849741,4333734,743,94.3,93.3,64.8,325.0,385.4,2
374438518,3936329,744,101.0,100.0,64.7,385.4,445.7,2
375199314,4672117,745,86.1,85.4,64.8,320.6,382.0,2
378501696,3087571,749,275.9,274.1,588.7,223.8,807.0,1
379597323,1025648,752,264.9,262.6,64.8,194.3,256.9,2
380762180,1129600,754,272.9,268.3,64.8,229.2,289.0,2
381997197,1199346,756,262.2,257.8,64.8,235.2,294.9,2
383358110,1322528,758,280.5,276.4,64.8,289.0,348.6,2
384688944,1289207,760,296.1,291.5,64.8,299.3,358.4,2
388741244,4010458,762,59.5,56.0,64.8,64.8,122.0,2
388712124,3611144,764,58.2,54.4,64.8,61.9,118.4,0
390426982,5324249,765,59.5,56.6,64.8,64.8,123.2,2
390464080,5384682,766,59.5,56.8,64.8,64.8,123.8,2
387424179,2281774,767,66.1,62.9,64.8,109.3,165.7,3
387424289,2284402,768,54.0,52.0,64.8,118.8,176.7,3
