,workload,iodepth,numjobs,ioengine,bs,media,MBPS,diskutil
261,randwrite,256,1,libaio,64,hdd,112.0,52.93
262,write,64,4,libaio,4,hdd,1061.0,69.21
263,randwrite,256,1,libaio,16,nvme,1722.0,70.75
264,randwrite,16,4,psync,16,ssd,210.0,80.59
265,randwrite,16,4,libaio,64,nvme,1773.0,90.16
266,randwrite,16,4,libaio,4,ssd,218.0,84.91
267,randwrite,256,16,psync,64,ssd,206.0,73.31
268,randwrite,32,16,libaio,4,hdd,67.0,37.76
269,write,64,16,psync,16,ssd,2485.0,37.35
270,write,64,16,libaio,64,nvme,4289.0,17.36
271,write,32,1,libaio,4,hdd,285.0,64.8
272,randwrite,64,16,psync,64,nvme,1773.0,93.39
273,randwrite,32,16,libaio,4,ssd,197.0,77.2
274,randwrite,64,16,libaio,16,ssd,195.0,77.53
275,randwrite,16,16,psync,4,hdd,133.0,87.24
276,randwrite,32,1,libaio,64,hdd,101.0,45.82
277,randwrite,1,16,psync,64,hdd,109.0,61.02
278,write,16,4,libaio,64,ssd,645.0,43.29
279,randwrite,64,4,psync,4,hdd,123.0,89.52
280,randwrite,64,4,psync,64,nvme,1777.0,90.09
281,write,256,4,libaio,64,hdd,1056.0,70.12
282,write,16,4,libaio,64,nvme,4290.0,55.91
283,randwrite,256,1,psync,16,ssd,130.0,62.98
284,randwrite,64,4,libaio,16,ssd,203.0,79.51
285,write,1,1,psync,64,nvme,1898.0,74.97
286,write,32,16,libaio,64,ssd,2619.0,39.7
287,write,64,4,libaio,64,hdd,1057.0,70.19
288,write,32,1,psync,4,ssd,134.0,23.46
289,write,16,4,libaio,4,ssd,634.0,43.48
290,write,256,16,libaio,4,ssd,2440.0,37.16
291,write,32,1,libaio,16,hdd,289.0,65.88
292,randwrite,32,1,psync,64,nvme,1852.0,75.45
293,randwrite,256,4,psync,4,hdd,105.0,74.78
294,write,16,1,psync,4,hdd,287.0,65.61
295,randwrite,16,1,psync,4,hdd,150.0,93.85
296,write,256,16,libaio,4,nvme,3123.0,15.13
297,randwrite,64,16,psync,4,nvme,1785.0,91.94
298,write,64,4,psync,4,nvme,3782.0,50.76
299,write,16,1,libaio,64,nvme,1890.0,74.68
300,write,32,4,psync,4,ssd,1066.0,64.61
